"state","utility_name","energy_type","ownership_eep_determined","parent"
"CA","Southern California Gas Company","gas","Investor Owned","Sempra Energy"
"TX","Oncor Electric Delivery Company LLC","electric","Investor Owned","Sempra Energy"
"TX","Centerpoint Energy","electric","Investor Owned",NA
"IL","Nicor Gas - IL","gas","Investor Owned","Southern Company"
"TX","Atmos Energy Corporation - Co","gas","Investor Owned",NA
"TX","Centerpoint Energy Entex - TX","gas","Investor Owned",NA
"CO","Pub Service Co of Colorado - CO","gas","Investor Owned",NA
"OH","Columbia Gas of Ohio - OH","gas","Investor Owned","NISource"
"AZ","Southwest Gas Corporation - AZ","gas","Investor Owned",NA
"NY","The Brooklyn Union Gas Co - NY","gas","Investor Owned","National Grid"
"OH","East Ohio Gas Comp Dominion East Oh - OH","gas","Investor Owned","Enbridge"
"MO","Spire Missouri Inc - MO","gas","Investor Owned",NA
"UT","Questar Gas Company - ID","gas","Investor Owned","Enbridge"
"MA","Boston Gas Co DBA National Grid - MA","gas","Investor Owned","National Grid"
"MN","Centerpoint Energy - MN","gas","Investor Owned",NA
"IL","Peoples Gas Light And Coke Company - IL","gas","Investor Owned","WEC Energy Group"
"OK","Oklahoma Natural Gas Co - OK","gas","Investor Owned","One Gas Inc"
"NV","Southwest Gas Corporation - AZ","gas","Investor Owned",NA
"NC","Piedmont Natural Gas - NC","gas","Investor Owned","Duke Energy"
"TX","Texas Gas Service - TX","gas","Investor Owned","One Gas Inc"
"OR","Northwest Natural Gas Co - OR","gas","Investor Owned",NA
"PA","Peoples Gas - WV","gas","Investor Owned","Essential Utilities"
"NC","Public Svc Co of North Carolina - NC","gas","Investor Owned","Enbridge"
"WI","Wisconsin Gas Company - WI","gas","Investor Owned","WEC Energy Group"
"IN","Indiana Gas Company Inc - IN","gas","Investor Owned",NA
"KS","Kansas Gas Service Company - KS","gas","Investor Owned","One Gas Inc"
"CA","Sacramento Municipal Utility District","electric","Municipal",NA
"NY","Niagara Mohawk DBA National Grid - NY","gas","Investor Owned","National Grid"
"NJ","New Jersey Natural Gas - NJ","gas","Investor Owned","New Jersey Resources"
"NY","Keyspan Energy DBA National Grid Ny - NY","gas","Investor Owned","National Grid"
"VA","Washington Gas Light Company - DC","gas","Investor Owned","AltaGas"
"NY","National Fuel Gas Dist Ny - NY","gas","Investor Owned",NA
"NM","New Mexico Gas Company - NM","gas","Investor Owned","TXNM Energy, Inc."
"PA","Peco Energy Company","gas","Investor Owned","Exelon"
"PA","Philadelphia Gas Works - PA","gas","Municipal",NA
"MD","Washington Gas Light Company - DC","gas","Investor Owned","AltaGas Ltd"
"FL","Peoples Gas Sys - FL","gas","Investor Owned","Emera, Inc"
"MN","Northern States Pwr Co - MN","gas","Investor Owned","Xcel"
"OH","Duke Energy Ohio - OH","gas","Investor Owned","Duke"
"PA","Columbia Gas of Maryland - MD","gas","Investor Owned","NiSource, Inc"
"AL","Alabama Gas Corp - AL","gas","Investor Owned","Spire"
"ID","Intermountian Gas Company - ID","gas","Investor Owned","MDU Resources Group, Inc"
"NJ","South Jersey Gas Company - NJ","gas","Investor Owned","South Jersey Industries"
"AR","Summit Utilities Arkansas Inc - AR","gas","Investor Owned",NA
"LA","Atmos Energy Corporation - Co","gas","Investor Owned",NA
"AL","Nw Alabama Gas Dist And Freebird Gas - AL","gas","Political Subdivision","Freebird is IOU under Emerald Storage Holdings LLC"
"NY","New York State Elec And Gas Corp - NY","gas","Investor Owned","Avangrid / Iberdola"
"OH","Vectren Energy Delivery of Ohio - OH","gas","Investor Owned","CenterPoint Energy"
"MA","Eversource Gas Co of Ma - MA","gas","Investor Owned",NA
"NJ","Pivotal Util Holdings Inc DBA Elizab - NJ","gas","Investor Owned","South Jersey Industries"
"TN","Memphis Light Gas And Water - TN","gas","Municipal",NA
"VA","Virginia Nat Gas Inc - VA","gas","Investor Owned","Southern Company"
"AZ","Gila River Indian Utility Authority Gricua","electric","Political Subdivision",NA
"MA","Nstar Gas Company - MA","gas","Investor Owned","Eversource"
